"","ID","RecordID","SiteID","counts.cleaned"
"2213","RBBP2014816_W5","RBBP2014816","RBBP",240.587986463621
"2214","SANM2014816_W5","SANM2014816","SANM",0
"2215","SANM2014817_W5","SANM2014817","SANM",0
"2216","FANY2014719_W5","FANY2014719","FANY",0
"2217","FANY2014720_W5","FANY2014720","FANY",9
"2218","EIDE2014718_W6","EIDE2014718","EIDE",0
"2219","ENBO2014719_W6","ENBO2014719","ENBO",0
"2220","SJEN2014719_W6","SJEN2014719","SJEN",0
"2221","SJEN2014720_W6","SJEN2014720","SJEN",0
"2222","COWC2014718_W6","COWC2014718","COWC",0
"2223","COWC2014719_W6","COWC2014719","COWC",0
"2224","COWC2014720_W6","COWC2014720","COWC",0
"2225","COWC2014721_W6","COWC2014721","COWC",0
"2226","EIDE2014720_W6","EIDE2014720","EIDE",0
"2227","BB722014719_W6","BB722014719","BB72",0
"2228","WHIF2014720_W6","WHIF2014720","WHIF",0
"2229","BB042014718_W6","BB042014718","BB04",400
"2230","WHIF2014719_W6","WHIF2014719","WHIF",0
"2231","BB042014720_W6","BB042014720","BB04",1000
"2232","BB722014720_W6","BB722014720","BB72",2000
"2233","ESQU2014719_W6","ESQU2014719","ESQU",11
"2234","ESQU2014720_W6","ESQU2014720","ESQU",8
"2235","DEEP2014721_W6","DEEP2014721","DEEP",0
"2236","EIDE2014719_W6","EIDE2014719","EIDE",0
"2237","NANO2014719_W6","NANO2014719","NANO",0
"2238","NANO2014720_W6","NANO2014720","NANO",0
"2239","PEDD2014719_W6","PEDD2014719","PEDD",0
"2240","PEDD2014720_W6","PEDD2014720","PEDD",0
"2241","MAPL2014719_W6","MAPL2014719","MAPL",0
"2242","MAPL2014720_W6","MAPL2014720","MAPL",0
"2243","ISVI2014719_W6","ISVI2014719","ISVI",0
"2244","FRCR2014719_W6","FRCR2014719","FRCR",0
"2245","FRCR2014720_W6","FRCR2014720","FRCR",0
"2246","SANM2014719_W6","SANM2014719","SANM",2.66666666666667
"2247","SANM2014720_W6","SANM2014720","SANM",3.33333333333333
"2248","WHIF2014816_W6","WHIF2014816","WHIF",0
"2249","WHIF2014817_W6","WHIF2014817","WHIF",2
"2250","EIDE2014815_W6","EIDE2014815","EIDE",8
"2251","EIDE2014817_W6","EIDE2014817","EIDE",0
"2252","FRCR2014816_W6","FRCR2014816","FRCR",3.2
"2253","SJEN2014816_W6","SJEN2014816","SJEN",300
"2254","FRCR2014817_W6","FRCR2014817","FRCR",5.14285714285714
"2255","SJEN2014817_W6","SJEN2014817","SJEN",250
"2256","BB922014816_W6","BB922014816","BB92",30
"2257","NANO2014815_W6","NANO2014815","NANO",0
"2258","NANO2014816_W6","NANO2014816","NANO",0
"2259","NANO2014817_W6","NANO2014817","NANO",0
"2260","ENBO2014817_W6","ENBO2014817","ENBO",0
"2261","SJEN2014815_W6","SJEN2014815","SJEN",0
"2262","COWC2014817_W6","COWC2014817","COWC",145
"2263","ESQU2014816_W6","ESQU2014816","ESQU",22
"2264","ESQU2014817_W6","ESQU2014817","ESQU",7
"2265","ISVI2014720_W6","ISVI2014720","ISVI",0
"2266","ISVI2014721_W6","ISVI2014721","ISVI",0
"2267","ISVI2014816_W6","ISVI2014816","ISVI",0
"2268","ISVI2014817_W6","ISVI2014817","ISVI",5
"2269","COWC2014818_W6","COWC2014818","COWC",0
